"zip","County","Year","New","Renewed","Insured-Initiated Nonrenewed","Insurer-Initiated Nonrenewed","percent_insurer_nonrenewed","pct_major_fire_risk","pct_severe_fire_risk"
96087,"Shasta",2020,27,207,24,20,"7.19",73.8,15
96087,"Shasta",2021,23,204,18,6,"2.39",73.8,15
93703,"Fresno",2015,763,5497,593,157,"2.24",0,0
93703,"Fresno",2016,749,5561,627,176,"2.47",0,0
93703,"Fresno",2017,760,5503,650,157,"2.22",0,0
93703,"Fresno",2018,818,5445,602,147,"2.1",0,0
93703,"Fresno",2019,892,5491,691,154,"2.13",0,0
93703,"Fresno",2020,773,5543,610,139,"1.97",0,0
93703,"Fresno",2021,833,5533,656,183,"2.54",0,0
95554,"Humboldt",2015,17,127,14,8,"4.82",46.2,0.4
